BF_ID	SITENAME	CONTINENT	COUNTRY	BF_TYPE	COMPLETENESS	FINDER	FINDERS_NO	SITE_SUBDIV	CONTEXT_LEVEL	DATE_FOUND	MUSEUM_HOLDER	MUSEUM_ACCESSION_NO	MUSEUM_ACCESSION_DATE	RAW_MATERIAL_TYPE	RAW_MATERIAL_TEXTURE	RAW_MATERIAL_HARDNESS	DEGREE_PATINATION	CORTEX_TYPE	CORTEX_FRONT	CORTEX_BACK	CONDITION	EDGE_PROFILE	BLANK_TYPE	BUTT_TYPE	BUTT_WORKING	WEIGHT	LENGTH	BREADTH	L1	L1_BREADTH	BB	BM	BA	BREADTH_DIV_LENGTH	L1_DIV_LENGTH	BA_DIV_BB	CIRCUMFERENCE	AREA	PERCENTAGE_WORKED	FRONTAL_SYMMETRY	THICKNESS	THICKNESS_DIV_BREADTH	EDGE_VIEW_L1	EDGE_VIEW_THICKNESS_L1	TB	TM	TA	EDGE_VIEW_CIRCUMFERENCE	EDGE_VIEW_AREA	EDGE_VIEW_SYMMETRY	NOTES
1017	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE		UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	6664		QUARTZITE	FINE	TOUGH	FRESH	NATURAL SURFACE	0	85	FRESH	IRREGULAR	FLAKE	PARTIALLY CORTICAL	PARTIALLY WORKED	491	140.24	87.4	62.5	83.9	74.7	81.4	82.2	0.62	0.44	1.1	370.1	10057.7	89	0.01	37.3	0.42	76.6	35.5	31.1	34.5	20.2	296.3	3826.3	0.01	"CLEAVER MADE OF FINE GRAINED QUARTZITE, TIP FORMED BY INTERSECTION BETWEEN VENTRAL AND UNWORKED DORSAL SURFACE, SHAPED WITH LESS THAN TEN SECONDARY REMOVALS"
1020	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE		UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	7571		QUARTZITE	FINE	TOUGH	FRESH	NATURAL SURFACE	0	30	FRESH	IRREGULAR	FLAKE	PARTIALLY CORTICAL	PARTIALLY WORKED	1976	191.67	153.3	123.3	152.7	114.7	146	139.3	0.79	0.64	1.21	528.7	23049.6	91	0.1	70	0.45	77	69	54	63.9	49.8	423.3	10516.4	0.03	"REMNANT PLATFORM ON LOWER RIGHT HAND CORNER, DISTINCTIVE YELLOWISH BAND"
1027	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE		UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	5074		QUARTZITE	FINE	TOUGH	FRESH	NONE	0	0	FRESH	LINEAR	FLAKE	NON-CORTICAL	COMPLETELY WORKED	912	170.27	106.5	134	105.5	91.1	99	105.2	0.62	0.78	1.15	455.7	15440.1	89	0.01	48.5	0.45	89.5	48.3	42.2	48.1	23.6	375.4	6361	0.11	"LARGE CLEAVER, PROBABLY EDGE STRUCK FROM LEFT HAND SIDE"
1033	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE		UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	5074		QUARTZITE	FINE	TOUGH	FRESH	NONE	0	0	FRESH	IRREGULAR	UNCLEAR	NON-CORTICAL	PARTIALLY WORKED	371	119.85	70.8	49.7	70	66.6	63	50.9	0.59	0.41	0.76	297.9	6658.2	88	0.02	41.1	0.58	40.1	41.1	34.6	36	23.4	242.3	3322.9	0.02	POSSIBLE CLEAVER ROUGHOUT
1034	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE		UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	5074		QUARTZITE	FINE	TOUGH	FRESH	ABRADED	65	0	FRESH	IRREGULAR	FLAKE	PARTIALLY CORTICAL	PARTIALLY WORKED	804	166.08	111.6	113.1	110.8	72.2	103.7	107.3	0.67	0.68	1.48	432.6	14751	76	0.02	47.8	0.42	36.5	46.4	45.7	36.1	26.4	340.7	5414.7	0.08	"CLEAVER MADE ON FLAKE FROM ROLLED BOULDER, BULB OF PERCUSSION PRESENT ON LOWER LEFT HAND CORNER, FLAKE STRUCK FROM NATURAL OUTER SURFACE, CLEAVER TIP FORMED BY INTERSECTION BETWEEN BOULDER OUTER SURFACE AND FLAKE VENTRAL SURFACE"
1035	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE		UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	5074		QUARTZITE	FINE	TOUGH	FRESH	UNCLEAR	0	0	FRESH	IRREGULAR	FLAKE	NON-CORTICAL	COMPLETELY WORKED	1560	221.47	130.2	97	128.8	110.9	127.8	111.6	0.58	0.43	1	559.5	24023	100	0.01	55.9	0.42	94.9	54.3	43.8	50.5	24.6	495.8	8664.4	0.06	"LARGE CLEAVER MADE ON FLAKE BUT LACKING PLATFORM OR BULB OF PERCUSSION, CLEAVER TIP FORMED BY INTERSECTION BETWEEN DORSAL AND VENTRAL SURFACES"
1044	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE		UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	5990		QUARTZITE	FINE	TOUGH	FRESH	UNCLEAR	0	0	FRESH	IRREGULAR	FLAKE	NON-CORTICAL	COMPLETELY WORKED	921	184.57	99.1	127.1	95.5	68.3	84.7	91.3	0.53	0.68	1.33	462.7	14284.2	70	0.03	48.2	0.48	40.4	47.9	47.6	39.6	34.2	401.3	6852.7	0.05	"POSSIBLE CLEAVER ROUGHOUT WITH FRONT OR VENTRAL SURFACE UNWORKED, MOST RETOUCH ON RIGHT HAND EDGE AND UPPER LEFT HAND CORNER, BUTT STRUCK"
1046	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE		UNCLEAR	RAISED BEACH (SWAMP)	UNCLEAR	1958	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	8715		QUARTZITE	FINE	TOUGH	FRESH	UNCLEAR	0	0	ABRADED	LINEAR	FLAKE	NON-CORTICAL	PARTIALLY WORKED	632	149.35	89.9	57.8	89.5	75.1	87.9	70.3	0.6	0.38	0.93	359.2	10219.7	86	0.01	48.6	0.54	38	48	46.3	39.7	16.7	333.2	4831.4	0.03	"CLEAVER WITH INTERSECTION BIT BETWEEN DORSAL AND VENTRAL SURFACES, PROBABLE REMNANT PLATFORM ON BUTT"
1049	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE		UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	6469		QUARTZITE	FINE	TOUGH	FRESH	BATTERED	0	10	FRESH	IRREGULAR	UNCLEAR	PARTIALLY CORTICAL	COMPLETELY WORKED	2783	259.1	156.8	118.2	156.8	126.1	154.3	114.2	0.6	0.45	0.9	623	30093.2	100	0.05	94.2	0.6	89.6	87.3	80.9	77.9	45.8	624.7	18033.9	0.02	"VERY LARGE CLEAVER ROUGHOUT, LACKS RETOUCH ALONG LEFT HAND EDGE, TIP FORMED BY DORSAL AND VENTRAL INTERSECTION"
1055	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE		UNCLEAR	UNCLEAR	UNCLEAR	1959	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	7055		QUARTZITE	FINE	TOUGH	FRESH	UNCLEAR	0	0	FRESH	IRREGULAR	FLAKE	NON-CORTICAL	PARTIALLY WORKED	1127	170.01	136.4	128.5	133.2	95.7	119.5	129.1	0.8	0.75	1.34	470.3	17634.5	94	0.06	61.1	0.44	68.3	61.1	45.5	52.2	34.4	389.9	7783.4	0.04	"MEDIUM SIZED TYPICAL CLEAVER WITH TIP FORMED BY THE INTERSECTION BETWEEN DORSAL AND VENTRAL SURFACE, FLAKING CONCENTRATED ALONG FRONT EDGES AND BUTT, DISTINCTIVE BANDING"
